korean,sejong_level,unit,page
가장,1B,1,6
김치찌개,1B,1,6
냉면,1B,1,6
동물,1B,1,6
된장찌개,1B,1,6
떡볶이,1B,1,6
미안하다,1B,1,6
받다,1B,1,6
볶음밥,1B,1,6
선물,1B,1,6
음식,1B,1,6
잡채,1B,1,6
주문하다,1B,1,6
치다,1B,1,6
테니스,1B,1,6
혼자,1B,1,6
것,1B,1,7
고기,1B,1,7
그리다,1B,1,7
그림,1B,1,7
내,1B,1,7
맛,1B,1,7
머리,1B,1,7
생선,1B,1,7
아프다,1B,1,7
얼마나,1B,1,7
왜,1B,1,7
운전,1B,1,7
일주일,1B,1,7
입다,1B,1,7
조금,1B,1,7
청바지,1B,1,7
초밥,1B,1,7
하지만,1B,1,7
햄버거,1B,1,7
달리기,1B,1,8
야구,1B,1,8
요가,1B,1,8
제일,1B,1,8
국,1B,1,9
놓다,1B,1,9
반찬,1B,1,9
사용하다,1B,1,9
숟가락,1B,1,9
젓가락,1B,1,9
함께,1B,1,9
그래서,1B,2,8
근처,1B,2,8
기타,1B,2,8
년,1B,2,8
노래,1B,2,8
독서,1B,2,8
돈을 찾다,1B,2,8
보통,1B,2,8
빌리다,1B,2,8
사무실,1B,2,8
신문,1B,2,8
옷장,1B,2,8
은행,1B,2,8
전,1B,2,8
취미,1B,2,8
특히,1B,2,8
헬스클럽,1B,2,8
새,1B,2,11
PC방,1B,2,12
매주,1B,2,13
결혼식,1B,3,9
계획,1B,3,9
기차역,1B,3,9
너무,1B,3,9
떡,1B,3,9
매다,1B,3,9
바지,1B,3,9
신다,1B,3,9
싸다,1B,3,9
쓰다,1B,3,9
아직,1B,3,9
옷차림,1B,3,9
운동복,1B,3,9
이따가,1B,3,9
이유,1B,3,9
인터넷,1B,3,9
정장,1B,3,9
채소,1B,3,9
치마,1B,3,9
티셔츠,1B,3,9
배,1B,3,15
반팔,1B,3,16
가족,1B,3,17
월급,1B,3,17
첫,1B,3,17
귀엽다,1B,4,10
길다,1B,4,10
꿈,1B,4,10
낮다,1B,4,10
넓다,1B,4,10
높다,1B,4,10
불편하다,1B,4,10
비싸다,1B,4,10
손님,1B,4,10
수박,1B,4,10
작다,1B,4,10
잠,1B,4,10
점원,1B,4,10
좁다,1B,4,10
짧다,1B,4,10
찾다,1B,4,10
크다,1B,4,10
편하다,1B,4,10
가격,1B,4,11
기다리다,1B,4,11
보이다,1B,4,11
사이즈,1B,4,11
잠시,1B,4,11
죄송하다,1B,4,11
건물,1B,4,18
산,1B,4,18
자동차,1B,4,18
그러면,1B,4,19
눈사람,1B,4,19
스키장,1B,4,19
시장,1B,4,21
전통,1B,4,21
항상,1B,4,21
건너가다,1B,5,12
걸리다,1B,5,12
나가다,1B,5,12
내려가다,1B,5,12
돌아가다,1B,5,12
들어가다,1B,5,12
똑바로,1B,5,12
무섭다,1B,5,12
방향,1B,5,12
스페인어,1B,5,12
시청,1B,5,12
엘리베이터,1B,5,12
올라가다,1B,5,12
이동,1B,5,12
저쪽,1B,5,12
주차장,1B,5,12
쯤,1B,5,12
테니스장,1B,5,12
화장실,1B,5,12
길,1B,5,13
병원,1B,5,13
빵집,1B,5,13
알다,1B,5,13
약국,1B,5,13
지도,1B,5,13
축구장,1B,5,23
감사하다,1B,5,24
경복궁,1B,5,24
실례,1B,5,24
정도,1B,5,24
지하철역,1B,5,24
꼭,1B,5,25
한식당,1B,5,25
가깝다,1B,6,14
간식,1B,6,14
갈아타다,1B,6,14
공항,1B,6,14
교통수단,1B,6,14
기차,1B,6,14
내리다,1B,6,14
늦다,1B,6,14
멀다,1B,6,14
미술관,1B,6,14
배가 고프다,1B,6,14
비행기,1B,6,14
싫어하다,1B,6,14
오토바이,1B,6,14
우체국,1B,6,14
정류장,1B,6,14
지하철,1B,6,14
차,1B,6,14
택시,1B,6,14
호텔,1B,6,14
반,1B,6,29
오래,1B,6,29
작년,1B,6,29
힘들다,1B,6,29
경주,1B,7,15
구경,1B,7,15
닭갈비,1B,7,15
도시,1B,7,15
돈,1B,7,15
등산화,1B,7,15
맛집,1B,7,15
밤,1B,7,15
불국사,1B,7,15
선글라스,1B,7,15
설악산,1B,7,15
섬,1B,7,15
수영복,1B,7,15
약,1B,7,15
여권,1B,7,15
자르다,1B,7,15
호수,1B,7,15
휴가,1B,7,15
빨리,1B,7,16
준비하다,1B,7,16
남산,1B,7,32
다음,1B,7,32
때,1B,7,32
장갑,1B,7,33
처음,1B,7,33
거리,1B,8,17
경험,1B,8,17
공연,1B,8,17
괜찮다,1B,8,17
귤,1B,8,17
끝나다,1B,8,17
다녀오다,1B,8,17
닦다,1B,8,17
더,1B,8,17
멋있다,1B,8,17
명동,1B,8,17
삼계탕,1B,8,17
새롭다,1B,8,17
샤워하다,1B,8,17
설거지,1B,8,17
이,1B,8,17
인사동,1B,8,17
전통 시장,1B,8,17
지난번,1B,8,17
축제,1B,8,17
끝,1B,8,18
날,1B,8,18
다시,1B,8,18
먼저,1B,8,18
바닷가,1B,8,18
외국 사람,1B,8,18
유명하다,1B,8,18
참,1B,8,18
푹,1B,8,18
신촌,1B,8,34
샌드위치,1B,8,35
음,1B,8,36
계속,1B,8,37
심심하다,1B,8,37
올해,1B,8,37
재미,1B,8,37
감기,1B,9,19
귀,1B,9,19
기침,1B,9,19
눈,1B,9,19
다리,1B,9,19
목,1B,9,19
몸,1B,9,19
발,1B,9,19
복잡하다,1B,9,19
손,1B,9,19
신체,1B,9,19
열이 나다,1B,9,19
입,1B,9,19
증상,1B,9,19
코,1B,9,19
콧물,1B,9,19
넣다,1B,9,20
단어,1B,9,20
드시다,1B,9,20
숙제,1B,9,20
아까,1B,9,20
외우다,1B,9,20
이제,1B,9,20
갈비탕,1B,9,39
잘하다,1B,9,39
못하다,1B,9,40
맞다,1B,9,41
무서워하다,1B,9,41
살다,1B,9,41
주사,1B,9,41
가끔,1B,10,21
건강하다,1B,10,21
늘,1B,10,21
대학교,1B,10,21
샐러드,1B,10,21
생활,1B,10,21
습관,1B,10,21
웃다,1B,10,21
졸업하다,1B,10,21
지키다,1B,10,21
초대하다,1B,10,21
퇴근,1B,10,21
팝콘,1B,10,21
해외여행,1B,10,21
끄다,1B,10,43
달다,1B,10,43
화장,1B,10,43
걷기,1B,10,44
조깅,1B,10,44
바꾸다,1B,10,45
종일,1B,10,45
피곤하다,1B,10,45
결혼,1B,11,22
다치다,1B,11,22
모이다,1B,11,22
모임,1B,11,22
문의,1B,11,22
부르다,1B,11,22
소강당,1B,11,22
스키,1B,11,22
연락,1B,11,22
예약하다,1B,11,22
전화,1B,11,22
정하다,1B,11,22
초대장,1B,11,22
축하,1B,11,22
춤,1B,11,22
여러분,1B,11,46
되다,1B,11,48
생각,1B,11,48
시험,1B,11,48
지난주,1B,11,49
게임기,1B,12,23
고등학교,1B,12,23
그릇,1B,12,23
누나,1B,12,23
메시지,1B,12,23
명절,1B,12,23
보내다,1B,12,23
어린이날,1B,12,23
어버이날,1B,12,23
오래되다,1B,12,23
인형,1B,12,23
입학식,1B,12,23
졸업,1B,12,23
졸업식,1B,12,23
지갑,1B,12,23
최근,1B,12,23
카드,1B,12,23
편지,1B,12,23
표,1B,12,23
그때,1B,12,50
두껍다,1B,12,51
막히다,1B,12,51
이야기하다,1B,12,51
모으다,1B,12,52
용돈,1B,12,53
